element	concentration	error	unit	date
cfc11	8.91163639869242	0.0	0	2004.6986301369864
cfc12	378.344063064291	0.0	0	2004.6986301369864
cfc113	32.7674349049302	0.0	0	2004.6986301369864
cfc11	4.90072485653779	0.0	0	2004.6986301369864
cfc12	379.006496138866	0.0	0	2004.6986301369864
cfc113	19.0458350665594	0.0	0	2004.6986301369864
cfc11	3.02357382270575	0.0	0	2004.8328767123287
cfc12	393.072812458562	0.0	0	2004.8328767123287
cfc113	2.36768907976495	0.0	0	2004.8328767123287
cfc11	3.54482943536896	0.0	0	2004.9479452054795
cfc12	371.373716703249	0.0	0	2004.9479452054795
cfc113	4.21371319601313	0.0	0	2004.9479452054795
cfc11	4.2240544327498	0.0	0	2005.4356164383562
cfc12	477.340035141337	0.0	0	2005.4356164383562
cfc113	8.81802554264662	0.0	0	2005.4356164383562
cfc11	15.5758140070025	0.0	0	2006.5013698630137
cfc12	299.90990791553	0.0	0	2006.5013698630137
cfc113	17.448851697623	0.0	0	2006.5013698630137
cfc11	28.0067513154349	0.0	0	2009.4438356164383
cfc12	305.24020764727	0.0	0	2009.4438356164383
cfc113	36.384820989538	0.0	0	2009.4438356164383
cfc11	17.1544977875297	0.0	0	2010.890410958904
cfc12	264.091125328623	0.0	0	2010.890410958904
cfc113	12.1568356544072	0.0	0	2010.890410958904
cfc11	27.5295947438001	0.0	0	2011.2410958904109
cfc12	322.589887820945	0.0	0	2011.2410958904109
cfc113	9.54534083246123	0.0	0	2011.2410958904109
cfc11	66.399693454254	0.0	0	2014.4219178082192
cfc12	312.595521757202	0.0	0	2014.4219178082192
cfc113	25.1552324115347	0.0	0	2014.4219178082192
cfc11	54.8023853426995	0.0	0	2015.358904109589
cfc12	228.263669537399	0.0	0	2015.358904109589
cfc113	26.5011568144572	0.0	0	2015.358904109589
cfc11	22.9596229449816	0.0	0	2016.0876712328768
cfc12	265.385352743545	0.0	0	2016.0876712328768
cfc113	7.50053665541769	0.0	0	2016.0876712328768
cfc11	35.3512182828717	0.0	0	2016.295890410959
cfc12	253.915078868624	0.0	0	2016.295890410959
cfc113	9.48948370755877	0.0	0	2016.295890410959
cfc11	35.9820549658723	0.0	0	2016.86301369863
cfc12	305.376882850113	0.0	0	2016.86301369863
cfc113	8.01190121357307	0.0	0	2016.86301369863
cfc11	31.17695959	0.0	0	2017.3753424657534
cfc12	235.8667625	0.0	0	2017.3753424657534
cfc113	12.9634276	0.0	0	2017.3753424657534
cfc11	31.0249815781982	0.0	0	2017.8438356164384
cfc12	206.449085557697	0.0	0	2017.8438356164384
cfc113	15.6222602547542	0.0	0	2017.8438356164384
cfc11	24.9879779726112	0.0	0	2018.3945205479451
cfc12	269.372778239318	0.0	0	2018.3945205479451
cfc113	21.4831559179248	0.0	0	2018.3945205479451
cfc11	38.5298860592888	0.0	0	2018.86301369863
cfc12	379.269250015034	0.0	0	2018.86301369863
cfc113	21.8243636448635	0.0	0	2018.86301369863
cfc11	39.0421124418096	0.0	0	2019.4027397260274
cfc12	278.274310762577	0.0	0	2019.4027397260274
cfc113	24.1018664269152	0.0	0	2019.4027397260274
cfc11	22.8688252609136	0.0	0	2020.1342465753426
cfc12	274.232249373241	0.0	0	2020.1342465753426
cfc113	13.5061552664033	0.0	0	2020.1342465753426
cfc11	29.08297992	0.0	0	2021.358904109589
cfc12	254.6245887	0.0	0	2021.358904109589
cfc113	6.438960576	0.0	0	2021.358904109589
cfc11	8.532322143	0.0	0	2024.1041095890412
cfc12	242.7210687	0.0	0	2024.1041095890412
cfc113	15.32426668	0.0	0	2024.1041095890412
